Material;Database;Category;CF RMI agriculture;Unit
orange, fresh grade;ecoinvent3.8;intermediate exchanges/allocatable product;0,16;kg primary material/kg material
orange, processing grade;ecoinvent3.8;intermediate exchanges/allocatable product;0,16;kg primary material/kg material
palm date;ecoinvent3.8;intermediate exchanges/allocatable product;0,3;kg primary material/kg material
palm date, organic;ecoinvent3.8;intermediate exchanges/allocatable product;0,3;kg primary material/kg material
palm fruit bunch;ecoinvent3.8;intermediate exchanges/allocatable product;0,18;kg primary material/kg material
papaya;ecoinvent3.8;intermediate exchanges/allocatable product;0,44;kg primary material/kg material
paris market carrot;ecoinvent3.8;intermediate exchanges/allocatable product;0,2;kg primary material/kg material
peach;ecoinvent3.8;intermediate exchanges/allocatable product;0,44;kg primary material/kg material
peanut;ecoinvent3.8;intermediate exchanges/allocatable product;1,02;kg primary material/kg material
pear;ecoinvent3.8;intermediate exchanges/allocatable product;0,3;kg primary material/kg material
pineapple;ecoinvent3.8;intermediate exchanges/allocatable product;0,3;kg primary material/kg material
pomegranate;ecoinvent3.8;intermediate exchanges/allocatable product;0,29;kg primary material/kg material
potato;ecoinvent3.8;intermediate exchanges/allocatable product;0,36;kg primary material/kg material
potato, organic;ecoinvent3.8;intermediate exchanges/allocatable product;0,32;kg primary material/kg material
potato, Swiss integrated production;ecoinvent3.8;intermediate exchanges/allocatable product;0,5;kg primary material/kg material
protein pea;ecoinvent3.8;intermediate exchanges/allocatable product;1,23;kg primary material/kg material
protein pea, organic;ecoinvent3.8;intermediate exchanges/allocatable product;1,23;kg primary material/kg material
protein pea, Swiss integrated production;ecoinvent3.8;intermediate exchanges/allocatable product;0,38;kg primary material/kg material
rape seed;ecoinvent3.8;intermediate exchanges/allocatable product;1,18;kg primary material/kg material
rape seed, organic;ecoinvent3.8;intermediate exchanges/allocatable product;1,18;kg primary material/kg material
rape seed, Swiss integrated production;ecoinvent3.8;intermediate exchanges/allocatable product;1,18;kg primary material/kg material
rice, basmati;ecoinvent3.8;intermediate exchanges/allocatable product;1,39;kg primary material/kg material
rice, non-basmati;ecoinvent3.8;intermediate exchanges/allocatable product;1,39;kg primary material/kg material
cabbage red;ecoinvent3.8;intermediate exchanges/allocatable product;0,2;kg primary material/kg material
rye grain;ecoinvent3.8;intermediate exchanges/allocatable product;1,09;kg primary material/kg material
rye grain, organic;ecoinvent3.8;intermediate exchanges/allocatable product;1,09;kg primary material/kg material
rye grain, Swiss integrated production;ecoinvent3.8;intermediate exchanges/allocatable product;1,11;kg primary material/kg material
seed-cotton;ecoinvent3.8;intermediate exchanges/allocatable product;0,91;kg primary material/kg material
seed-cotton, organic;ecoinvent3.8;intermediate exchanges/allocatable product;0,91;kg primary material/kg material
soybean;ecoinvent3.8;intermediate exchanges/allocatable product;1,63;kg primary material/kg material
soybean, organic;ecoinvent3.8;intermediate exchanges/allocatable product;1,63;kg primary material/kg material
soybean, Swiss integrated production;ecoinvent3.8;intermediate exchanges/allocatable product;1,96;kg primary material/kg material
spinach;ecoinvent3.8;intermediate exchanges/allocatable product;0,2;kg primary material/kg material
straw;ecoinvent3.8;intermediate exchanges/allocatable product;1;kg primary material/kg material
straw, organic;ecoinvent3.8;intermediate exchanges/allocatable product;1;kg primary material/kg material
straw, stand-alone production;ecoinvent3.8;intermediate exchanges/allocatable product;1;kg primary material/kg material
strawberry;ecoinvent3.8;intermediate exchanges/allocatable product;0,3;kg primary material/kg material
sugar beet;ecoinvent3.8;intermediate exchanges/allocatable product;0,19;kg primary material/kg material
sugarcane;ecoinvent3.8;intermediate exchanges/allocatable product;0,27;kg primary material/kg material
sunflower seed;ecoinvent3.8;intermediate exchanges/allocatable product;0,91;kg primary material/kg material
sunflower seed, Swiss integrated production;ecoinvent3.8;intermediate exchanges/allocatable product;1;kg primary material/kg material
sunn hemp plant, harvested;ecoinvent3.8;intermediate exchanges/allocatable product;0,85;kg primary material/kg material
sweet corn;ecoinvent3.8;intermediate exchanges/allocatable product;2,02;kg primary material/kg material
sweet sorghum grain;ecoinvent3.8;intermediate exchanges/allocatable product;0,91;kg primary material/kg material
sweet sorghum stem;ecoinvent3.8;intermediate exchanges/allocatable product;0,27;kg primary material/kg material
tea, dried;ecoinvent3.8;intermediate exchanges/allocatable product;1,24;kg primary material/kg material
tomato, fresh grade;ecoinvent3.8;intermediate exchanges/allocatable product;0,3;kg primary material/kg material
tomato, processing grade;ecoinvent3.8;intermediate exchanges/allocatable product;0,16;kg primary material/kg material
vanilla;ecoinvent3.8;intermediate exchanges/allocatable product;1,62;kg primary material/kg material
wheat grain;ecoinvent3.8;intermediate exchanges/allocatable product;1,37;kg primary material/kg material
wheat grain, organic;ecoinvent3.8;intermediate exchanges/allocatable product;1,37;kg primary material/kg material
wheat grain, Swiss integrated production;ecoinvent3.8;intermediate exchanges/allocatable product;1,11;kg primary material/kg material
white asparagus;ecoinvent3.8;intermediate exchanges/allocatable product;0,37;kg primary material/kg material
cabbage white;ecoinvent3.8;intermediate exchanges/allocatable product;0,2;kg primary material/kg material
zucchini;ecoinvent3.8;intermediate exchanges/allocatable product;0,14;kg primary material/kg material
